ds,holiday,lower_window,upper_window
2017/01/01 0:00:00,holiday,0,1
2017/01/01 1:00:00,holiday,0,1
2017/01/01 10:00:00,holiday,0,1
2017/01/01 11:00:00,holiday,0,1
2017/01/01 12:00:00,holiday,0,1
2017/01/01 13:00:00,holiday,0,1
2017/01/01 14:00:00,holiday,0,1
2017/01/01 15:00:00,holiday,0,1
2017/01/01 16:00:00,holiday,0,1
2017/01/01 17:00:00,holiday,0,1
2017/01/01 18:00:00,holiday,0,1
2017/01/01 19:00:00,holiday,0,1
2017/01/01 2:00:00,holiday,0,1
2017/01/01 20:00:00,holiday,0,1
2017/01/01 21:00:00,holiday,0,1
2017/01/01 22:00:00,holiday,0,1
2017/01/01 23:00:00,holiday,0,1
2017/01/01 3:00:00,holiday,0,1
2017/01/01 4:00:00,holiday,0,1
2017/01/01 5:00:00,holiday,0,1
2017/01/01 6:00:00,holiday,0,1
2017/01/01 7:00:00,holiday,0,1
2017/01/01 8:00:00,holiday,0,1
2017/01/01 9:00:00,holiday,0,1
2017/01/02 0:00:00,holiday,0,1
2017/01/02 1:00:00,holiday,0,1
2017/01/02 10:00:00,holiday,0,1
2017/01/02 11:00:00,holiday,0,1
2017/01/02 12:00:00,holiday,0,1
2017/01/02 13:00:00,holiday,0,1
2017/01/02 14:00:00,holiday,0,1
2017/01/02 15:00:00,holiday,0,1
2017/01/02 16:00:00,holiday,0,1
2017/01/02 17:00:00,holiday,0,1
2017/01/02 18:00:00,holiday,0,1
2017/01/02 19:00:00,holiday,0,1
2017/01/02 2:00:00,holiday,0,1
2017/01/02 20:00:00,holiday,0,1
2017/01/02 21:00:00,holiday,0,1
2017/01/02 22:00:00,holiday,0,1
2017/01/02 23:00:00,holiday,0,1
2017/01/02 3:00:00,holiday,0,1
2017/01/02 4:00:00,holiday,0,1
2017/01/02 5:00:00,holiday,0,1
2017/01/02 6:00:00,holiday,0,1
2017/01/02 7:00:00,holiday,0,1
2017/01/02 8:00:00,holiday,0,1
2017/01/02 9:00:00,holiday,0,1
2017/01/03 0:00:00,holiday,0,1
2017/01/03 1:00:00,holiday,0,1
2017/01/03 10:00:00,holiday,0,1
2017/01/03 11:00:00,holiday,0,1
2017/01/03 12:00:00,holiday,0,1
2017/01/03 13:00:00,holiday,0,1
2017/01/03 14:00:00,holiday,0,1
2017/01/03 15:00:00,holiday,0,1
2017/01/03 16:00:00,holiday,0,1
2017/01/03 17:00:00,holiday,0,1
2017/01/03 18:00:00,holiday,0,1
2017/01/03 19:00:00,holiday,0,1
2017/01/03 2:00:00,holiday,0,1
2017/01/03 20:00:00,holiday,0,1
2017/01/03 21:00:00,holiday,0,1
2017/01/03 22:00:00,holiday,0,1
2017/01/03 23:00:00,holiday,0,1
2017/01/03 3:00:00,holiday,0,1
2017/01/03 4:00:00,holiday,0,1
2017/01/03 5:00:00,holiday,0,1
2017/01/03 6:00:00,holiday,0,1
2017/01/03 7:00:00,holiday,0,1
2017/01/03 8:00:00,holiday,0,1
2017/01/03 9:00:00,holiday,0,1
2017/01/09 0:00:00,holiday,0,1
2017/01/09 1:00:00,holiday,0,1
2017/01/09 10:00:00,holiday,0,1
2017/01/09 11:00:00,holiday,0,1
2017/01/09 12:00:00,holiday,0,1
2017/01/09 13:00:00,holiday,0,1
2017/01/09 14:00:00,holiday,0,1
2017/01/09 15:00:00,holiday,0,1
2017/01/09 16:00:00,holiday,0,1
2017/01/09 17:00:00,holiday,0,1
2017/01/09 18:00:00,holiday,0,1
